"time" "fl"
"1" 0.1241833333 58379
"2" 1.12395 106410
"3" 2.1239666667 158234
"4" 3.1240166667 208527
"5" 4.1240333333 259461
"6" 5.1240833333 306658
"7" 6.1241166667 354552
"8" 7.1241 401433
"9" 8.1238833333 447427
"10" 9.1239333333 493744
"11" 10.1239333333 540664
"12" 11.12395 584286
"13" 12.1240166667 629800
"14" 13.1240333333 677722
"15" 14.12405 720942
"16" 15.1240666667 768356
"17" 16.1241 806294
"18" 17.1241333333 852674
"19" 18.1239 894482
"20" 19.1239166667 935115
"21" 20.1239666667 982461
"22" 21.1239833333 1023385
"23" 22.1240333333 1063904
"24" 23.1240666667 1105718
"25" 24.1240666667 1148128
"26" 25.1240833333 1189651
"27" 26.1241333333 1225438
"28" 27.1241333333 1267530
"29" 28.1239333333 1310045
"30" 29.12395 1354684
"31" 30.1239833333 1391823
"32" 31.124 1432496
"33" 32.1240666667 1469440
"34" 33.1240666667 1508161
"35" 34.1241 1550360
"36" 35.1242166667 1594627
"37" 36.1241666667 1631362
"38" 37.1239166667 1671337
"39" 38.12395 1713896
"40" 39.124 1747572
"41" 40.1240166667 1792298
"42" 41.12405 1828454
"43" 42.1240833333 1866777
"44" 43.1241 1906836
"45" 44.12415 1942463
"46" 45.1241166667 1984255
"47" 46.1239166667 2019143
"48" 47.1239333333 2059213
"49" 48.1239666667 2091179
"50" 49.1239833333 2131920
"51" 50.1240333333 2169503
"52" 51.1240666667 2198046
"53" 52.1240666667 2241308
"54" 53.1240833333 2273612
"55" 54.1241333333 2312216
"56" 55.1241666667 2343693
"57" 56.1239 2381019
"58" 57.1239333333 2412351
"59" 58.1239666667 2452185
"60" 59.124 2490863
"61" 60.1240333333 2526607
"62" 61.12405 2547254
"63" 62.1240833333 2593427
"64" 63.1241333333 2627023
"65" 64.12415 2655075
"66" 65.1239166667 2689104
"67" 66.12395 2712858
"68" 67.12395 2747928
"69" 68.124 2787746
"70" 69.12405 2813954
"71" 70.1240833333 2841038
"72" 71.1240833333 2871275
"73" 72.1241 2901170
"74" 73.1241333333 2938168
"75" 74.12415 2971470
"76" 75.1239333333 2996396
"77" 76.12395 3027074
"78" 77.1240166667 3057490
"79" 78.124 3073114
"80" 79.1240333333 3111936
"81" 80.1241 3142759
"82" 81.12415 3175367
"83" 82.1241166667 3202267
"84" 83.12415 3215884
"85" 84.1239 3249129
"86" 85.12395 3267802
"87" 86.12395 3305543
"88" 87.1239833333 3325526
"89" 88.124 3353217
"90" 89.12405 3377424
"91" 90.1240666667 3408446
"92" 91.1241 3427225
"93" 92.1241166667 3446783
"94" 93.1241666667 3483724
"95" 94.1239166667 3503758
"96" 95.12395 3520936
"97" 96.1239666667 3539438
"98" 97.124 3563201
"99" 98.1240166667 3597145
"100" 99.12405 3618480
"101" 100.1240833333 3641541
"102" 101.1241333333 3653964
"103" 102.1241333333 3680094
"104" 103.12415 3707025
"105" 104.12395 3710379
"106" 105.1239666667 3743892
"107" 106.1239833333 3743128
"108" 107.1240166667 3773718
"109" 108.1240666667 3783801
"110" 109.1240666667 3815838
"111" 110.1241 3832314
"112" 111.1241333333 3833530
"113" 112.1241666667 3859063
"114" 113.1239333333 3876969
"115" 114.12395 3894187
"116" 115.1239833333 3914986
"117" 116.1240333333 3926928
"118" 117.1240666667 3949013
"119" 118.1240666667 3963884
"120" 119.1241 3985661
"121" 120.1241333333 3982013
"122" 121.12415 4003875
"123" 122.1242166667 4017704
"124" 123.1239333333 4024631
"125" 124.12395 4043675
"126" 125.1240166667 4065695
"127" 126.1240166667 4071122
"128" 127.12405 4079219
"129" 128.12405 4089952
"130" 129.1241 4097611
"131" 130.12415 4118377
"132" 131.12415 4130494
"133" 132.1239166667 4137060
"134" 133.12395 4134510
"135" 134.124 4147860
"136" 135.1240166667 4172173
"137" 136.1240833333 4175558
"138" 137.1240666667 4197223
"139" 138.1240833333 4182378
"140" 139.1241166667 4202638
"141" 140.1241666667 4211329
"142" 141.1241833333 4212885
"143" 142.12395 4224411
"144" 143.1239833333 4227351
"145" 144.1240166667 4235201
"146" 145.1240333333 4255858
"147" 146.1240833333 4254205
"148" 147.1241333333 4259440
"149" 148.12415 4263739
"150" 149.12415 4262765
"151" 150.1242 4271601
"152" 151.12395 4278349
"153" 152.124 4274957
"154" 153.1240333333 4293901
"155" 154.1240166667 4293450
"156" 155.1240333333 4293156
"157" 156.1240666667 4288094
"158" 157.1240833333 4311196
"159" 158.1241333333 4300210
"160" 159.1241333333 4314031
"161" 160.1241666667 4316349
"162" 161.1239333333 4320713
"163" 162.12395 4317525
"164" 163.1239833333 4329343
"165" 164.1240333333 4316944
"166" 165.12405 4344937
"167" 166.1240666667 4343399
"168" 167.1241 4335923
"169" 168.12415 4345242
"170" 169.1241666667 4347907
"171" 170.1239333333 4349594
"172" 171.1239666667 4343305
"173" 172.1239833333 4354975
"174" 173.1240166667 4348800
"175" 174.1240333333 4362299
"176" 175.1240333333 4352565
"177" 176.1241333333 4354838
"178" 177.12415 4371113
"179" 178.1241666667 4354887
"180" 179.1241833333 4359021
"181" 180.1239833333 4359115
"182" 181.124 4372447
"183" 182.124 4364181
"184" 183.12405 4376787
"185" 184.12405 4379281
"186" 185.1240833333 4384971
"187" 186.1241166667 4371653
"188" 187.1241333333 4382967
"189" 188.1242 4370868
"190" 189.1239333333 4374394
"191" 190.1239666667 4382366
"192" 191.1239666667 4380920
"193" 192.1240166667 4389253
"194" 193.12405 4368940
"195" 194.1240833333 4388457
"196" 195.1241 4390266
"197" 196.1241333333 4393950
"198" 197.12415 4391010
"199" 198.1241666667 4393528
"200" 199.1239333333 4384010
"201" 200.12395 4386434
"202" 201.124 4375050
"203" 202.1240166667 4385618
"204" 203.1240333333 4387854
"205" 204.1240833333 4380576
"206" 205.1241333333 4384178
"207" 206.1241333333 4386935
"208" 207.12415 4392656
"209" 208.1242 4378900
"210" 209.12395 4388564
"211" 210.1239833333 4398543
"212" 211.1240666667 4395733
"213" 212.1240666667 4403282
"214" 213.1240666667 4413051
"215" 214.1241 4403233
"216" 215.1244333333 4399722
"217" 216.1241833333 4398859
"218" 217.1241833333 4396276
"219" 218.12395 4398188
"220" 219.1239833333 4405916
"221" 220.124 4402521
"222" 221.12405 4401688
"223" 222.1240666667 4394183
"224" 223.1241 4392959
"225" 224.1241166667 4400871
"226" 225.12415 4415302
"227" 226.1241833333 4412678
"228" 227.1241833333 4396445
"229" 228.12395 4413847
"230" 229.1239833333 4407628
"231" 230.1240333333 4411865
"232" 231.12405 4406391
"233" 232.1240666667 4389457
"234" 233.1241 4404994
"235" 234.1241333333 4399648
"236" 235.1241666667 4386152
"237" 236.1241833333 4402185
"238" 237.12395 4394127
"239" 238.1239666667 4385179
"240" 239.124 4403644
"241" 240.1240333333 4413629
"242" 241.1240666667 4404928
"243" 242.1241 4410154
"244" 243.1241166667 4394982
"245" 244.1241333333 4399052
"246" 245.1241666667 4400348
"247" 246.1242166667 4394633
"248" 247.1239833333 4395035
"249" 248.124 4393503
"250" 249.124 4399643
"251" 250.1240833333 4392334
"252" 251.1240666667 4396669
"253" 252.1240833333 4399249
"254" 253.1241333333 4401965
"255" 254.1241666667 4402204
"256" 255.1242 4382674
"257" 256.1242333333 4393605
"258" 257.1239666667 4394187
"259" 258.124 4390930
"260" 259.12405 4383128
"261" 260.12405 4383994
"262" 261.1241333333 4402304
"263" 262.1241 4400948
"264" 263.1241166667 4403927
"265" 264.12415 4409317
"266" 265.1241666667 4397574
"267" 266.1239333333 4402891
"268" 267.1239666667 4389487
"269" 268.1240166667 4401474
"270" 269.12405 4393577
"271" 270.12405 4391293
"272" 271.1241 4406805
"273" 272.1241333333 4396006
"274" 273.1241833333 4397370
