"time" "fl"
"1" 1 39.57
"2" 1.33333337306976 59.52
"3" 1.66666674613953 79.65
"4" 2 99.59
"5" 2.33333349227905 119.71
"6" 2.66666674613953 139.56
"7" 3 159.16
"8" 3.33333349227905 178.78
"9" 3.66666674613953 197.98
"10" 4 217.21
"11" 4.33333349227905 236.46
"12" 4.66666698455811 255.76
"13" 5 274.61
"14" 5.33333349227905 293.24
"15" 5.66666698455811 312.04
"16" 6 330.21
"17" 6.33333349227905 348.77
"18" 6.66666698455811 367.1
"19" 7 383.99
"20" 7.33333349227905 402.26
"21" 7.66666698455811 419.89
"22" 8 437.13
"23" 8.33333396911621 454.75
"24" 8.66666698455811 471.43
"25" 9 488.04
"26" 9.33333396911621 505.34
"27" 9.66666698455811 521.78
"28" 10 538.37
"29" 10.3333339691162 554.83
"30" 10.6666669845581 571.03
"31" 11 586.88
"32" 11.3333339691162 602.61
"33" 11.6666669845581 618.43
"34" 12 632.82
"35" 12.3333339691162 648.38
"36" 12.6666669845581 663.11
"37" 13 677.56
"38" 13.3333339691162 692.02
"39" 13.6666669845581 706.85
"40" 14 721.07
"41" 14.3333339691162 735.33
"42" 14.6666669845581 748.95
"43" 15 762.31
"44" 15.3333339691162 775.93
"45" 15.6666669845581 790.17
"46" 16 802.16
"47" 16.3333339691162 815.28
"48" 16.6666679382324 828.61
"49" 17 841.57
"50" 17.3333339691162 854.2
"51" 17.6666679382324 867.11
"52" 18 878.8
"53" 18.3333339691162 891.63
"54" 18.6666679382324 903.55
"55" 19 913.36
"56" 19.3333339691162 926.37
"57" 19.6666679382324 938.88
"58" 20 948.42
"59" 20.3333339691162 961.01
"60" 20.6666679382324 972.3
"61" 21 980.43
"62" 21.3333339691162 992.79
"63" 21.6666679382324 1001.94
"64" 22 1014.45
"65" 22.3333339691162 1022.21
"66" 22.6666679382324 1035.78
"67" 23 1044.52
"68" 23.3333339691162 1055.6
"69" 23.6666679382324 1067
"70" 24 1074.39
"71" 24.3333339691162 1083.43
"72" 24.6666679382324 1096.75
"73" 25 1103.72
"74" 25.3333339691162 1113.55
"75" 25.6666679382324 1120.48
"76" 26 1133.15
"77" 26.3333339691162 1144.6
"78" 26.6666679382324 1148.15
"79" 27 1158.88
"80" 27.3333339691162 1163.62
"81" 27.6666679382324 1173.85
"82" 28 1182.16
"83" 28.3333339691162 1194.03
"84" 28.6666679382324 1197.92
"85" 29 1223.13
"86" 29.3333339691162 1215.61
"87" 29.6666679382324 1227.73
"88" 30 1230.29
"89" 30.3333339691162 1241.1
"90" 30.6666679382324 1246.49
"91" 31 1261.03
"92" 31.3333339691162 1262.45
"93" 31.6666679382324 1268.96
"94" 32 1277.88
"95" 32.3333358764648 1287.67
"96" 32.6666679382324 1290.64
"97" 33 1299.35
"98" 33.3333358764648 1306.65
"99" 33.6666679382324 1314.67
"100" 34 1320.86
"101" 34.3333358764648 1328.9
"102" 34.6666679382324 1336.06
"103" 35 1343.57
"104" 35.3333358764648 1350.17
"105" 35.6666679382324 1354.76
"106" 36 1378.08
"107" 36.3333358764648 1368.81
"108" 36.6666679382324 1380.58
"109" 37 1380.27
"110" 37.3333358764648 1401.86
"111" 37.6666679382324 1395.01
"112" 38 1396.62
"113" 38.3333358764648 1402.25
"114" 38.6666679382324 1407.31
"115" 39 1411.42
"116" 39.3333358764648 1417.73
"117" 39.6666679382324 1423.18
"118" 40 1429.5
"119" 40.3333358764648 1434.83
"120" 40.6666679382324 1438.75
"121" 41 1444.74
"122" 41.3333358764648 1471.2
"123" 41.6666679382324 1461.65
"124" 42 1461.7
"125" 42.3333358764648 1468.56
"126" 42.6666679382324 1471.31
"127" 43 1474.79
"128" 43.3333358764648 1483.18
"129" 43.6666679382324 1489.74
"130" 44 1490.46
"131" 44.3333358764648 1497.5
"132" 44.6666679382324 1498.2
"133" 45 1506.54
"134" 45.3333358764648 1507.76
"135" 45.6666679382324 1513.55
"136" 46 1516.71
"137" 46.3333358764648 1523.83
"138" 46.6666679382324 1524.97
"139" 47 1528.28
"140" 47.3333358764648 1531.24
"141" 47.6666679382324 1536.24
"142" 48 1542.63
"143" 48.3333358764648 1543.56
"144" 48.6666679382324 1547.49
"145" 49 1551.33
"146" 49.3333358764648 1556.36
"147" 49.6666679382324 1558.5
"148" 50 1564.99
"149" 50.3333358764648 1565.98
"150" 50.6666679382324 1568.96
"151" 51 1574.19
"152" 51.3333358764648 1577.04
"153" 51.6666679382324 1581.93
"154" 52 1585.19
"155" 52.3333358764648 1586.97
"156" 52.6666679382324 1586.52
"157" 53 1592.8
"158" 53.3333358764648 1596.24
"159" 53.6666679382324 1600.32
"160" 54 1602.06
"161" 54.3333358764648 1604.01
"162" 54.6666679382324 1604.48
"163" 55 1610.3
"164" 55.3333358764648 1613.73
"165" 55.6666679382324 1611.32
"166" 56 1617.75
"167" 56.3333358764648 1621.31
"168" 56.6666679382324 1619.96
"169" 57 1621.02
"170" 57.3333358764648 1623.79
"171" 57.6666679382324 1624.55
"172" 58 1626.79
"173" 58.3333358764648 1629.06
"174" 58.6666679382324 1635.06
"175" 59 1636.63
"176" 59.3333358764648 1639.62
"177" 59.6666679382324 1640.84
"178" 60 1644.25
