"x" "y"
"1" 0 12.86
"2" 0.33 12.47
"3" 0.67 12.46
"4" 1 12.43
"5" 1.33 12.4
"6" 1.67 12.34
"7" 2 12.37
"8" 2.33 12.33
"9" 2.67 12.35
"10" 3 12.29
"11" 3.33 12.25
"12" 3.67 12.29
"13" 4 12.2
"14" 4.33 12.24
"15" 4.67 12.2
"16" 5 12.21
"17" 5.33 12.19
"18" 5.67 12.21
"19" 6 12.23
"20" 6.33 12.23
"21" 6.67 12.28
"22" 7 12.29
"23" 7.33 12.33
"24" 7.67 12.29
"25" 8 12.41
"26" 8.33 12.38
"27" 8.67 12.46
"28" 9 12.5
"29" 9.33 12.52
"30" 9.67 12.54
"31" 10 12.63
"32" 10.33 12.58
"33" 10.67 12.67
"34" 11 12.71
"35" 11.33 12.74
"36" 11.67 12.71
"37" 12 12.78
"38" 12.33 12.78
"39" 12.67 12.8
"40" 13 12.88
"41" 13.33 12.88
"42" 13.67 12.92
"43" 14 12.95
"44" 14.33 12.94
"45" 14.67 13.04
"46" 15 13.12
"47" 15.33 13.07
"48" 15.67 13.09
"49" 16 13.17
"50" 16.33 13.24
"51" 16.67 13.29
"52" 17 13.27
"53" 17.33 13.35
"54" 17.67 13.4
"55" 18 13.43
"56" 18.33 13.5
"57" 18.67 13.54
"58" 19 13.64
"59" 19.33 13.69
"60" 19.67 13.78
"61" 20 13.83
"62" 20.33 13.78
"63" 20.67 14.13
"64" 21 14.36
"65" 21.33 14.66
"66" 21.67 14.35
"67" 22 14.43
"68" 22.33 14.65
"69" 22.67 15.09
"70" 23 15.53
"71" 23.33 16.08
"72" 23.67 16.76
"73" 24 17.58
"74" 24.33 18.45
"75" 24.67 19.48
"76" 25 20.53
"77" 25.33 21.8
"78" 25.67 23.16
"79" 26 24.55
"80" 26.33 26.11
"81" 26.67 27.73
"82" 27 29.48
"83" 27.33 31.27
"84" 27.67 33.16
"85" 28 35.27
"86" 28.33 37.34
"87" 28.67 39.36
"88" 29 41.66
"89" 29.33 43.94
"90" 29.67 46.28
"91" 30 48.69
"92" 30.33 51.08
"93" 30.67 53.78
"94" 31 56.38
"95" 31.33 58.92
"96" 31.67 61.57
"97" 32 64.32
"98" 32.33 66.97
"99" 32.67 69.75
"100" 33 72.67
"101" 33.33 75.32
"102" 33.67 78.38
"103" 34 81.14
"104" 34.33 84.06
"105" 34.67 86.92
"106" 35 89.68
"107" 35.33 92.7
"108" 35.67 95.68
"109" 36 98.43
"110" 36.33 101.28
"111" 36.67 104.31
"112" 37 107.34
"113" 37.33 109.95
"114" 37.67 112.56
"115" 38 115.62
"116" 38.33 118.39
"117" 38.67 121.14
"118" 39 123.92
"119" 39.33 126.86
"120" 39.67 129.69
"121" 40 132.17
"122" 40.33 134.58
"123" 40.67 137.41
"124" 41 139.99
"125" 41.33 142.35
"126" 41.67 145.11
"127" 42 147.44
"128" 42.33 149.85
"129" 42.67 152.09
"130" 43 154.74
"131" 43.33 156.82
"132" 43.67 159.18
"133" 44 161.31
"134" 44.33 163.36
"135" 44.67 165.37
"136" 45 167.41
"137" 45.33 169.6
"138" 45.67 171.32
"139" 46 173.24
"140" 46.33 175.4
"141" 46.67 177.21
"142" 47 179.27
"143" 47.33 180.7
"144" 47.67 182.51
"145" 48 184.11
"146" 48.33 185.87
"147" 48.67 187.49
"148" 49 188.99
"149" 49.33 190.6
"150" 49.67 192.09
"151" 50 193.71
"152" 50.33 195.21
"153" 50.67 196.51
"154" 51 198.07
"155" 51.33 199.38
"156" 51.67 200.45
"157" 52 202.19
"158" 52.33 203.36
"159" 52.67 204.52
"160" 53 206.01
"161" 53.33 207.15
"162" 53.67 208.51
"163" 54 209.76
"164" 54.33 210.97
"165" 54.67 212.27
"166" 55 213.29
"167" 55.33 214.68
"168" 55.67 215.36
"169" 56 216.46
"170" 56.33 218.02
"171" 56.67 218.8
"172" 57 219.93
"173" 57.33 220.94
"174" 57.67 222.41
"175" 58 223.53
"176" 58.33 224.17
"177" 58.67 225.16
"178" 59 226.58
"179" 59.33 227.74
"180" 59.67 228.7
