"x" "y"
"1" 0 12.78
"2" 0.33 12.63
"3" 0.67 12.59
"4" 1 12.52
"5" 1.33 12.43
"6" 1.67 12.42
"7" 2 12.33
"8" 2.33 12.28
"9" 2.67 12.33
"10" 3 12.34
"11" 3.33 12.35
"12" 3.67 12.32
"13" 4 12.38
"14" 4.33 12.38
"15" 4.67 12.47
"16" 5 12.56
"17" 5.33 12.53
"18" 5.67 12.58
"19" 6 13.29
"20" 6.33 14.52
"21" 6.67 16.77
"22" 7 20.21
"23" 7.33 24.93
"24" 7.67 31.01
"25" 8 38.65
"26" 8.33 47.78
"27" 8.67 58.17
"28" 9 70.09
"29" 9.33 83.42
"30" 9.67 98.23
"31" 10 114.43
"32" 10.33 131.57
"33" 10.67 150.23
"34" 11 169.57
"35" 11.33 189.11
"36" 11.67 210.3
"37" 12 231.96
"38" 12.33 253.43
"39" 12.67 275.21
"40" 13 297.86
"41" 13.33 320.07
"42" 13.67 341.92
"43" 14 362.76
"44" 14.33 383.93
"45" 14.67 403.73
"46" 15 423.02
"47" 15.33 441.24
"48" 15.67 457.41
"49" 16 474.01
"50" 16.33 490.72
"51" 16.67 504.48
"52" 17 517.32
"53" 17.33 530.43
"54" 17.67 540.91
"55" 18 553.13
"56" 18.33 561.84
"57" 18.67 571.47
"58" 19 579.8
"59" 19.33 588.04
"60" 19.67 596.98
"61" 20 602.16
"62" 20.33 609.41
"63" 20.67 615.71
"64" 21 621.7
"65" 21.33 627.99
"66" 21.67 631.61
"67" 22 636.91
"68" 22.33 642.24
"69" 22.67 646.28
"70" 23 649.49
"71" 23.33 654.01
"72" 23.67 656.56
"73" 24 660.6
"74" 24.33 663.89
"75" 24.67 667.05
"76" 25 669.29
"77" 25.33 673.56
"78" 25.67 675.96
"79" 26 678.12
"80" 26.33 681.39
"81" 26.67 685.47
"82" 27 686.14
"83" 27.33 687.93
"84" 27.67 689.73
"85" 28 693.85
"86" 28.33 696.35
"87" 28.67 697.43
"88" 29 699.7
"89" 29.33 701.85
"90" 29.67 704
"91" 30 704.92
"92" 30.33 707.09
"93" 30.67 710.9
"94" 31 712.18
"95" 31.33 712.56
"96" 31.67 714.98
"97" 32 717.87
"98" 32.33 719.74
"99" 32.67 720.36
"100" 33 723.28
"101" 33.33 723.53
"102" 33.67 725.17
"103" 34 727.92
"104" 34.33 726.7
"105" 34.67 731.97
"106" 35 732.08
"107" 35.33 735.12
"108" 35.67 736.32
"109" 36 737.2
"110" 36.33 740.45
"111" 36.67 742.33
"112" 37 741.85
"113" 37.33 744.35
"114" 37.67 744.81
"115" 38 747.5
"116" 38.33 749.67
"117" 38.67 750.6
"118" 39 752.24
"119" 39.33 753.66
"120" 39.67 755.81
"121" 40 756.17
"122" 40.33 756.66
"123" 40.67 758.96
"124" 41 760.05
"125" 41.33 762.76
"126" 41.67 763.38
"127" 42 765.17
"128" 42.33 767.53
"129" 42.67 769.87
"130" 43 770.01
"131" 43.33 771.57
"132" 43.67 774.47
"133" 44 773.98
"134" 44.33 775.58
"135" 44.67 778.19
"136" 45 780.88
"137" 45.33 779.98
"138" 45.67 782.18
"139" 46 784.87
"140" 46.33 785.49
"141" 46.67 786.21
"142" 47 788.11
"143" 47.33 789.97
"144" 47.67 792.3
"145" 48 793.08
"146" 48.33 792.58
"147" 48.67 794.88
"148" 49 796.15
"149" 49.33 799.13
"150" 49.67 799.59
"151" 50 801.48
"152" 50.33 802.63
"153" 50.67 803.73
"154" 51 806.03
"155" 51.33 806.8
"156" 51.67 809.79
"157" 52 810.22
"158" 52.33 810.63
"159" 52.67 812.28
"160" 53 815.68
"161" 53.33 817.57
"162" 53.67 818.31
"163" 54 818.88
"164" 54.33 821.13
"165" 54.67 819.82
"166" 55 824.12
"167" 55.33 825.09
"168" 55.67 825.85
"169" 56 826.13
"170" 56.33 828.48
"171" 56.67 831.82
"172" 57 832.23
"173" 57.33 833.68
"174" 57.67 834.83
"175" 58 836.16
"176" 58.33 838.41
"177" 58.67 839.55
"178" 59 841.88
"179" 59.33 843.37
"180" 59.67 844.35
