"time" "fl"
"1" 1 12.35
"2" 1.33333337306976 12.18
"3" 1.66666674613953 12.27
"4" 2 12.35
"5" 2.33333349227905 12.48
"6" 2.66666674613953 12.63
"7" 3 12.79
"8" 3.33333349227905 12.94
"9" 3.66666674613953 13.15
"10" 4 13.33
"11" 4.33333349227905 13.49
"12" 4.66666698455811 13.77
"13" 5 14.11
"14" 5.33333349227905 14.47
"15" 5.66666698455811 14.92
"16" 6 15.46
"17" 6.33333349227905 16.2
"18" 6.66666698455811 17.09
"19" 7 18.21
"20" 7.33333349227905 19.51
"21" 7.66666698455811 21.33
"22" 8 23.32
"23" 8.33333396911621 25.8
"24" 8.66666698455811 28.53
"25" 9 31.65
"26" 9.33333396911621 35.21
"27" 9.66666698455811 38.98
"28" 10 43.39
"29" 10.3333339691162 47.94
"30" 10.6666669845581 52.73
"31" 11 57.9
"32" 11.3333339691162 63.19
"33" 11.6666669845581 69.03
"34" 12 74.93
"35" 12.3333339691162 80.97
"36" 12.6666669845581 87.43
"37" 13 94.02
"38" 13.3333339691162 100.69
"39" 13.6666669845581 107.77
"40" 14 114.22
"41" 14.3333339691162 121.84
"42" 14.6666669845581 128.95
"43" 15 136.27
"44" 15.3333339691162 143.62
"45" 15.6666669845581 151.21
"46" 16 158.79
"47" 16.3333339691162 166.43
"48" 16.6666679382324 174.2
"49" 17 181.74
"50" 17.3333339691162 189.69
"51" 17.6666679382324 197.13
"52" 18 204.79
"53" 18.3333339691162 212.68
"54" 18.6666679382324 219.99
"55" 19 227.94
"56" 19.3333339691162 235.4
"57" 19.6666679382324 242.8
"58" 20 250.06
"59" 20.3333339691162 257.4
"60" 20.6666679382324 264.31
"61" 21 271.18
"62" 21.3333339691162 278.21
"63" 21.6666679382324 284.65
"64" 22 291.27
"65" 22.3333339691162 297.27
"66" 22.6666679382324 303.71
"67" 23 309.39
"68" 23.3333339691162 314.96
"69" 23.6666679382324 320.53
"70" 24 325.76
"71" 24.3333339691162 331.21
"72" 24.6666679382324 335.9
"73" 25 340.9
"74" 25.3333339691162 345.31
"75" 25.6666679382324 350.16
"76" 26 354.78
"77" 26.3333339691162 358.7
"78" 26.6666679382324 362.55
"79" 27 366.89
"80" 27.3333339691162 370.36
"81" 27.6666679382324 374.4
"82" 28 377.82
"83" 28.3333339691162 381.01
"84" 28.6666679382324 384.11
"85" 29 388
"86" 29.3333339691162 390.89
"87" 29.6666679382324 393.82
"88" 30 396.83
"89" 30.3333339691162 399.57
"90" 30.6666679382324 402.27
"91" 31 405.12
"92" 31.3333339691162 408.09
"93" 31.6666679382324 410.3
"94" 32 412.71
"95" 32.3333358764648 415.05
"96" 32.6666679382324 417.17
"97" 33 419.18
"98" 33.3333358764648 421.86
"99" 33.6666679382324 423.8
"100" 34 425.9
"101" 34.3333358764648 428.37
"102" 34.6666679382324 429.85
"103" 35 432.31
"104" 35.3333358764648 434.08
"105" 35.6666679382324 435.79
"106" 36 438.03
"107" 36.3333358764648 439.73
"108" 36.6666679382324 441.24
"109" 37 443.22
"110" 37.3333358764648 444.83
"111" 37.6666679382324 446.58
"112" 38 448.23
"113" 38.3333358764648 450.1
"114" 38.6666679382324 451.61
"115" 39 453.56
"116" 39.3333358764648 455.03
"117" 39.6666679382324 456.34
"118" 40 458.27
"119" 40.3333358764648 459.67
"120" 40.6666679382324 460.8
"121" 41 462.4
"122" 41.3333358764648 464.32
"123" 41.6666679382324 465.42
"124" 42 467.21
"125" 42.3333358764648 468.57
"126" 42.6666679382324 469.81
"127" 43 471.66
"128" 43.3333358764648 473.09
"129" 43.6666679382324 474.17
"130" 44 476.26
"131" 44.3333358764648 477.23
"132" 44.6666679382324 478.63
"133" 45 480.16
"134" 45.3333358764648 481.4
"135" 45.6666679382324 482.74
"136" 46 484.52
"137" 46.3333358764648 485.7
"138" 46.6666679382324 487.28
"139" 47 488.56
"140" 47.3333358764648 490.03
"141" 47.6666679382324 491.11
"142" 48 492.55
"143" 48.3333358764648 494.08
"144" 48.6666679382324 495
"145" 49 496.69
"146" 49.3333358764648 497.8
"147" 49.6666679382324 499.15
"148" 50 500.76
"149" 50.3333358764648 502.24
"150" 50.6666679382324 503.01
"151" 51 504.57
"152" 51.3333358764648 506.36
"153" 51.6666679382324 507.29
"154" 52 508.74
"155" 52.3333358764648 509.57
"156" 52.6666679382324 510.95
"157" 53 512.72
"158" 53.3333358764648 514.07
"159" 53.6666679382324 514.91
"160" 54 516.27
"161" 54.3333358764648 518.15
"162" 54.6666679382324 518.87
"163" 55 520.66
"164" 55.3333358764648 521.83
"165" 55.6666679382324 522.71
"166" 56 524.54
"167" 56.3333358764648 525.3
"168" 56.6666679382324 526.99
"169" 57 528.21
"170" 57.3333358764648 529.44
"171" 57.6666679382324 530.53
"172" 58 532.19
"173" 58.3333358764648 533.25
"174" 58.6666679382324 534.37
"175" 59 535.72
"176" 59.3333358764648 537.12
"177" 59.6666679382324 537.98
"178" 60 539.46
"179" 60.3333358764648 540.66
"180" 60.6666679382324 541.54
"181" 61 543.56
"182" 61.3333358764648 544.51
