"x" "y"
"1" 0 13.158848245895
"2" 0.1 16.7845430024088
"3" 0.2 17.5374209545245
"4" 0.3 23.6288705777532
"5" 0.4 29.4398270899279
"6" 0.5 34.9091064119242
"7" 0.6 38.2385862838176
"8" 0.7 44.3585278361162
"9" 0.8 50.4742207133545
"10" 0.9 57.4747332022985
"11" 1 58.5556933072671
"12" 1.1 62.7972295543793
"13" 1.2 67.663539353318
"14" 1.3 72.8207025894419
"15" 1.4 74.9766481434126
"16" 1.5 81.5016818580883
"17" 1.6 87.0658197442083
"18" 1.7 90.1529344615293
"19" 1.8 91.1420151731783
"20" 1.9 99.300777407035
"21" 2 103.591587401265
"22" 2.1 113.345601886537
"23" 2.2 115.822122513481
"24" 2.3 118.654643954291
"25" 2.4 121.110875223508
"26" 2.5 126.733690675425
"27" 2.6 129.613708802114
"28" 2.7 131.886670893314
"29" 2.8 142.083696057578
"30" 2.9 143.160353668536
"31" 3 148.203587282158
"32" 3.1 156.034679232527
"33" 3.2 155.505020179053
"34" 3.3 161.073798505575
"35" 3.4 163.883126435823
"36" 3.5 170.630463824197
"37" 3.6 174.356819714116
"38" 3.7 179.184096842055
"39" 3.8 184.722653264799
"40" 3.9 184.716207645728
"41" 4 191.383807093837
"42" 4.1 196.419551872258
"43" 4.2 200.692218568402
"44" 4.3 202.774451627394
"45" 4.4 205.372967654117
"46" 4.5 215.103281666834
"47" 4.6 217.051940584899
"48" 4.7 220.3182890154
"49" 4.8 225.6950487628
"50" 4.9 226.248023943247
"51" 5 232.96105984049
"52" 5.1 237.410664153623
"53" 5.2 240.198049736169
"54" 5.3 242.791226256575
"55" 5.4 247.824602273678
"56" 5.5 250.855601279308
"57" 5.6 252.815963471457
"58" 5.7 254.576562119648
"59" 5.8 260.292374498668
"60" 5.9 262.292282616661
"61" 6 265.080720699321
"62" 6.1 269.286449343023
"63" 6.2 276.024457229285
"64" 6.3 280.096886527221
"65" 6.4 286.39728046658
"66" 6.5 289.92827595029
"67" 6.6 294.07381764427
"68" 6.7 292.691111637875
"69" 6.8 295.711263451889
"70" 6.9 301.499225863625
"71" 7 304.603342674217
"72" 7.1 307.890137388239
"73" 7.2 316.441739810714
"74" 7.3 315.128255873057
"75" 7.4 316.645390751991
"76" 7.5 320.908983329498
"77" 7.6 325.209813109279
"78" 7.7 329.332603639655
"79" 7.8 332.825278890962
"80" 7.9 338.318318403752
"81" 8 340.645216657094
"82" 8.1 342.985158153929
"83" 8.2 346.588361364993
"84" 8.3 348.785425341142
"85" 8.4 353.748792343963
"86" 8.5 359.557323747038
"87" 8.6 359.053330554177
"88" 8.7 363.430493453128
"89" 8.8 366.855474293366
"90" 8.9 368.698781463266
"91" 9 372.549207525026
"92" 9.1 375.321988662797
"93" 9.2 380.189584916337
"94" 9.3 385.080055311538
"95" 9.4 383.270368347883
"96" 9.5 391.696595313966
"97" 9.6 393.768637072039
"98" 9.7 395.041135872751
"99" 9.8 398.036216570303
"100" 9.9 401.626237831148
"101" 10 401.50113010257
"102" 10.1 404.091660845171
"103" 10.2 409.544419612121
"104" 10.3 412.571617597039
"105" 10.4 416.939597161149
"106" 10.5 418.020346459303
"107" 10.6 420.18898915882
"108" 10.7 423.513244370209
"109" 10.8 429.929357574736
"110" 10.9 427.31744088169
"111" 11 434.626640506051
"112" 11.1 436.79793090637
"113" 11.2 439.462389821637
"114" 11.3 442.042482177526
"115" 11.4 445.553882724911
"116" 11.5 450.094611091395
"117" 11.6 453.256122343764
"118" 11.7 449.783415093236
"119" 11.8 455.872902875304
"120" 11.9 458.179594164354
"121" 12 458.620051157353
"122" 12.1 466.09064402132
"123" 12.2 463.766657688686
"124" 12.3 470.014886229366
"125" 12.4 476.304112037764
"126" 12.5 473.445719723411
"127" 12.6 478.626136177292
"128" 12.7 482.098225394219
"129" 12.8 481.629475923843
"130" 12.9 482.415064321933
"131" 13 488.916424054383
"132" 13.1 489.430048528486
"133" 13.2 493.131482286832
"134" 13.3 493.682339118391
"135" 13.4 496.35138178443
"136" 13.5 501.287000971857
"137" 13.6 501.853227062867
"138" 13.7 501.43031465067
"139" 13.8 506.865776974234
"140" 13.9 511.742367498413
"141" 14 514.722756664883
"142" 14.1 518.079886190386
"143" 14.2 519.998610895394
"144" 14.3 522.609002337924
"145" 14.4 524.343004187142
"146" 14.5 526.193538726659
"147" 14.6 528.135353846979
"148" 14.7 531.814802261542
"149" 14.8 534.559949359466
"150" 14.9 532.709413472423
"151" 15 538.102139090944
"152" 15.1 540.522512972968
"153" 15.2 545.297808067138
"154" 15.3 545.559982986224
"155" 15.4 546.109594092163
"156" 15.5 549.953307677433
"157" 15.6 551.809120577284
"158" 15.7 553.129974276216
"159" 15.8 554.144386938106
"160" 15.9 557.146123699684
"161" 16 562.76577824419
"162" 16.1 565.796091571778
"163" 16.2 562.583994070392
"164" 16.3 564.88254864019
"165" 16.4 571.363928729876
"166" 16.5 571.163566335644
"167" 16.6 576.761080948049
"168" 16.7 577.089893408238
"169" 16.8 577.90539941137
"170" 16.9 582.43404736132
"171" 17 583.163033435126
"172" 17.1 581.58757520819
