"x" "y"
"1" 0 10.6361646635898
"2" 0.1 7.50673888238166
"3" 0.2 10.0192564765597
"4" 0.3 8.92848815131711
"5" 0.4 14.1461497446648
"6" 0.5 7.3522679639355
"7" 0.6 8.31971135586092
"8" 0.7 9.36042113518988
"9" 0.8 6.55648419670046
"10" 0.9 11.718868355464
"11" 1 10.3912254662028
"12" 1.1 10.6669999438764
"13" 1.2 7.88832715207637
"14" 1.3 9.54044271409502
"15" 1.4 12.0604526848545
"16" 1.5 8.51225537993268
"17" 1.6 12.7113484093975
"18" 1.7 13.1253778100918
"19" 1.8 14.2167593383007
"20" 1.9 12.8130112637274
"21" 2 15.133402791082
"22" 2.1 10.8985678829785
"23" 2.2 13.4922898987687
"24" 2.3 10.0216579572751
"25" 2.4 15.7215596629095
"26" 2.5 19.0244271224252
"27" 2.6 15.1069326971603
"28" 2.7 16.3754569004975
"29" 2.8 19.8450362577667
"30" 2.9 19.707626609578
"31" 3 23.2195997001646
"32" 3.1 22.7567950818713
"33" 3.2 24.237321292749
"34" 3.3 26.7701977181049
"35" 3.4 24.8869831441658
"36" 3.5 31.8117863251352
"37" 3.6 29.1694661795826
"38" 3.7 32.8555517375245
"39" 3.8 37.1260483585441
"40" 3.9 37.9166501384889
"41" 4 41.6505488941293
"42" 4.1 45.0508861899775
"43" 4.2 46.0550192738326
"44" 4.3 50.9528368731096
"45" 4.4 52.2110926559157
"46" 4.5 54.7479777491459
"47" 4.6 62.015895584478
"48" 4.7 66.3969795263871
"49" 4.8 66.5776780612928
"50" 4.9 71.3474262599283
"51" 5 72.1790810145812
"52" 5.1 75.3221199326519
"53" 5.2 82.4280027910564
"54" 5.3 87.8030717496805
"55" 5.4 93.801388102732
"56" 5.5 96.6882315037729
"57" 5.6 97.7524227957115
"58" 5.7 102.508030031034
"59" 5.8 107.65144151655
"60" 5.9 111.402142461355
"61" 6 119.857862506921
"62" 6.1 122.498784208798
"63" 6.2 131.464628942744
"64" 6.3 130.012401374294
"65" 6.4 135.708221018034
"66" 6.5 142.597842624115
"67" 6.6 147.022117864469
"68" 6.7 149.845459332548
"69" 6.8 156.460728867956
"70" 6.9 162.750651633317
